Price,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2022-03-17,122.00997924804688,122.00997924804688,118.45721393010923,119.64466420983484,6845300
2022-03-18,125.67764282226562,125.88831970186565,121.33005406550926,121.47369805669445,10350900
2022-03-21,124.6721420288086,126.7022851073398,123.16867653652271,124.22206093316083,14388500
2022-03-22,127.44921112060547,133.1087296808392,127.35345821181937,131.46162768416806,19731200
2022-03-23,127.36305236816406,129.6613271675717,125.63933896257095,127.01830968704544,8068800
2022-03-24,126.48202514648438,128.50259712224002,125.63931771027997,128.0812434041378,5853800
2022-03-25,128.0333709716797,128.19616408406478,126.12772277629202,127.41092585890883,6287000
2022-03-28,129.0963592529297,129.14424303047122,126.56825068675722,128.0908583728671,5804100
2022-03-29,133.24282836914062,133.8269753217544,131.14564480791947,132.007508872407,7275900
2022-03-30,132.66822814941406,133.93228936880982,131.72976775481825,133.08958188921264,5545800
2022-03-31,128.85691833496094,132.83103694757128,128.79946366308013,131.98832946112412,7206500
2022-04-01,127.86100769042969,129.54640810963923,127.12363861424328,128.75158435958156,5807500
2022-04-04,128.64627075195312,129.4794075201229,127.2290016119582,127.41095118905363,5307300
2022-04-05,126.69271850585938,128.97183678649392,126.42458694343178,128.3589625563631,5707800
2022-04-06,122.91970825195312,124.77748741190821,120.97574707622475,124.53808318226605,6961000
2022-04-07,123.89646911621094,124.4710304422134,121.70351841089322,122.02911192953847,5320500
2022-04-08,122.71859741210938,124.42315429072325,122.46004406898669,123.95393137092583,4877400
2022-04-11,119.68296813964844,121.4928635681934,119.05093745359785,119.79787749635769,6365400
2022-04-12,119.74041748046875,122.67073014856965,119.0700812700501,119.8936323845972,5146800
2022-04-13,122.08657836914062,122.44089925763615,119.74041985131443,119.74041985131443,5119300
2022-04-14,127.80355834960938,128.68456414723698,123.4272420875314,123.60919163709866,12811300
2022-04-18,126.0511245727539,127.73652515468086,124.78706317725235,126.40543817054974,5298200
2022-04-19,131.24142456054688,131.6531928937356,127.15239551188822,127.44925447062002,7346100
2022-04-20,130.11138916015625,132.77356267923145,129.91029781612247,132.11281936533354,5309700
2022-04-21,129.71881103515625,133.24283473854175,129.35491188306102,132.67784419023968,6562400
2022-04-22,123.599609375,129.21122988554166,123.25486673697998,128.63666856355692,7321700
2022-04-25,122.51750183105469,123.47511867874206,119.55846197256159,122.38343605686138,6512500
2022-04-26,115.41197967529297,122.1823305200573,115.37368143056285,121.56945631986079,7977900
2022-04-27,116.10147857666016,118.74450344087336,115.9578345709677,115.9578345709677,6007800
2022-04-28,121.66522216796875,122.54622790531813,117.40382285602942,117.9496641613477,6551600
2022-04-29,119.41484069824219,123.00590456013045,118.98391595723085,120.87042267497559,5867900
2022-05-02,120.73634338378906,120.83210361486455,117.59536104587436,119.15627399991297,5428400
2022-05-03,117.6528091430664,120.42989952515848,115.12470119267503,119.72125778155167,8201200
2022-05-04,120.71720123291016,120.8512670334812,114.99065544840992,117.34639248049282,6924000
2022-05-05,113.60209655761719,119.46271494290559,111.58152420135438,118.84984067718051,8411600
2022-05-06,109.63756561279297,110.98780905679006,105.9698981447511,108.91935288029352,11237500
2022-05-09,106.49656677246094,109.58009413358916,105.90284170777203,108.18197443871198,7506000
2022-05-10,104.8494873046875,108.632078983351,103.75780446731073,108.23945249139783,7526900
2022-05-11,103.34602355957031,106.43912964451098,103.03000820017891,106.00819761642148,6611800
2022-05-12,103.32686614990234,105.22294354215093,100.54977564701542,100.72214698322323,10245400
2022-05-13,108.22029113769531,108.3160513693398,104.06422986878064,105.58684458426629,9618800
2022-05-16,107.82765197753906,108.63205390179834,106.83172961257048,108.1915510433378,5722500
2022-05-17,110.98780822753906,112.13694566853727,108.27775045037373,110.60475997852711,6026100
2022-05-18,104.73456573486328,108.55545522055907,104.16956794987979,107.73190408043895,8188300
2022-05-19,101.92874908447266,104.48558455211784,101.77552686769639,104.33236233534159,7702000
