Price,Close,High,Low,Open,Volume
Ticker,TMO,TMO,TMO,TMO,TMO
Date,,,,,
2022-03-18,584.4647827148438,585.9331431074097,568.8384439413013,572.281170147098,2622100
2022-03-21,584.673095703125,585.5561223966635,577.2419131682008,577.2419131682008,1690900
2022-03-22,582.748291015625,590.0108248361015,581.9248514137636,585.6354768766007,1499800
2022-03-23,566.8243408203125,578.5019477075589,565.4750334325214,577.033526791728,1195100
2022-03-24,569.1857299804688,570.9120588470987,562.6077799500721,569.6322089594804,971300
2022-03-25,569.7810668945312,576.4880019340486,563.8083727751821,573.3429074457373,1037300
2022-03-28,578.611083984375,578.7202057855437,570.4953165512843,572.4597511960748,945300
2022-03-29,588.215087890625,591.915782490328,580.3473573979819,588.1059660869095,1201300
2022-03-30,590.4772338867188,594.5450187202503,586.2506713738244,587.8778095296136,1092900
2022-03-31,586.0125732421875,596.4102708095625,586.0125732421875,587.6793755621218,1637400
2022-04-01,587.6892700195312,589.494927003024,579.8512726353537,587.5701564878883,1028700
2022-04-04,585.5065307617188,590.0703896427597,580.6549100596617,586.6276634120331,1027700
2022-04-05,579.6925048828125,589.0682589581945,576.1306654289676,580.2778385362385,1082200
2022-04-06,582.7979736328125,585.4767869233292,568.530932692897,574.6226789818885,1232700
2022-04-07,607.4032592773438,612.2945441501953,577.390766940261,578.4126484133939,2140200
2022-04-08,604.0794677734375,613.5048776901921,601.995980330002,605.210531496872,1629000
2022-04-11,581.0716552734375,598.9402612996539,579.9604536827251,593.8208011535819,1470100
2022-04-12,566.4572143554688,581.0616098510218,561.0897181140339,579.4940589670142,1411200
2022-04-13,572.2713012695312,573.7992488717408,560.167076219291,567.0129257924439,1286300
2022-04-14,564.4332885742188,573.5312730847305,560.2067264047998,573.491608946084,1225600
2022-04-18,567.6380615234375,570.4855235530434,561.5065895978775,564.492966984038,1161100
2022-04-19,569.64208984375,571.477540360379,563.887580055092,570.2472858999423,1139000
2022-04-20,586.5087280273438,593.8903167750642,570.5648911570674,570.5648911570674,1598100
2022-04-21,575.8728637695312,590.8245519736818,573.6008650423526,587.8282435160788,1231900
2022-04-22,556.8731689453125,572.1820138527811,556.2977058288565,570.3365715215174,1478000
2022-04-25,539.8875732421875,545.552763734172,525.3327697583874,542.1992965116873,2597200
2022-04-26,512.3853149414062,533.8950930813518,509.9843318655185,529.9165668111855,2469900
